nombre_completo,partido,region,distrito_o_circunscripcion,camara,url_perfil
Sr. Miguel Mellado,RN,,N°23,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1050
Sr. Daniel Melo,PS,,N°13,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=990
Sr. José Carlos Meza,PREP,,N°9,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1146
Sr. Vlado Mirosevic,LIBERAL,,N°1,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=991
Sra. Claudia Mix,FA,,N°8,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1051
Sra. Helia Molina,PPD,,N°10,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1147
Sra. Javiera Morales,FA,,N°28,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1148
Sra. Carla Morales,RN,,N°16,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1149
Sr. Cristhian Moreira,UDI,,N°13,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1053
Sr. Benjamín Moreno,PREP,,N°17,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1150
Sr. Jaime Mulet,FRVS,,N°4,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=872
Sra. Francesca Muñoz,PSC,,N°20,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1054
Sra. Camila Musante,IND,,N°14,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1151
Sr. Jaime Naranjo,IND,,N°18,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=74
Sra. Gloria Naveillan,PNL,,N°22,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1152
Sra. Emilia Nuyado,PS,,N°25,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1056
Sra. Coca Ericka Ñanco,FA,,N°23,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1153
Sr. Mauricio Ojeda,IND,,N°23,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1154
Sra. Erika Olivera,DEM,,N°9,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1057
Sra. Maite Orsini,FA,,N°9,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1058
Sra. Ximena Ossandón,RN,,N°12,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1059
Sr. Rubén Darío Oyarzo,IND,,N°8,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1155
Sr. Hernán Palma,IND,,N°12,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1156
Sra. Marlene Pérez,IND,,N°20,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1157
Sra. Joanna Pérez,DEM,,N°21,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1062
Sra. Catalina Pérez,FA,,N°3,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1063
Sr. Víctor Alejandro Pino,DEM,,N°5,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1158
Sra. Lorena Pizarro,PC,,N°13,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1159
Sra. Alejandra Placencia,PC,,N°10,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1160
Sr. Francisco Pulgar,IND,,N°17,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1161
Sr. Guillermo Ramírez,UDI,,N°11,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1065
Sr. Matías Ramírez,PC,,N°2,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1162
Sra. Marcia Raphael,RN,,N°27,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1163
Sr. Jorge Rathgeb,RN,,N°22,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=999
Sr. Hugo Rey,RN,,N°17,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1067
Sra. Marcela Riquelme,IND,,N°15,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1164
Sr. Gaspar Rivas,IND,,N°6,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=948
Sra. Camila Rojas,FA,,N°7,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1068
Sr. Agustín Romero,PREP,,N°8,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1165
Sr. Leonidas Romero,PNL,,N°20,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1069
Sra. Natalia Romero,IND,,N°15,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1166
Sr. Patricio Rosas,FA,,N°24,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1070
Sr. Jaime Sáez,FA,,N°26,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1167
Sr. Jorge Saffirio,DEM,,N°22,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1168
Sra. Clara Sagardía,FA,,N°21,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1169
Sr. Luis Sánchez,PREP,,N°7,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1170
Sr. Juan Santana,PS,,N°4,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1073
Sra. Marisela Santibáñez,IND,,N°14,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1074
Sr. Frank Sauerbaum,RN,,N°19,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=953
Sr. Diego Schalper,RN,,N°15,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1075
Sra. Emilia Schneider,FA,,N°10,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1171
Sr. Stephan Schubert,PREP,,N°23,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1172
Sr. Alexis Sepúlveda,PR,,N°17,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1076
Sra. Daniela Serrano,PC,,N°12,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1173
Sr. Leonardo Soto,PS,,N°14,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1002
Sr. Raúl Soto,PPD,,N°15,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1077
Sr. Marco Antonio Sulantay,UDI,,N°5,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1174
Sr. Cristián Tapia,IND,,N°4,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1175
Sr. Hotuiti Teao,IND,,N°7,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1176
Sra. Carolina Tello,FA,,N°5,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1177
Sr. Renzo Trisotti,PREP,,N°2,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1003
Sr. Héctor Ulloa,IND,,N°26,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1178
Sr. Francisco Undurraga,EVOP,,N°11,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1081
Sr. Alberto Undurraga,DC,,N°8,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1179
Sr. Cristóbal Urruticoechea,PNL,,N°21,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1082
Sra. Consuelo Veloso,IND,,N°18,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1180
Sr. Nelson Venegas,PS,,N°6,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1181
Sr. Sebastián Videla,IND,,N°3,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1182
Sr. Gastón Von Mühlenbrock,UDI,,N°24,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=917
Sra. Flor Weisse,UDI,,N°21,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1183
Sr. Gonzalo Winter,FA,,N°10,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1086
Sra. Gael Yeomans,FA,,N°13,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1087
